t_rel_ms,time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw,timestamp,omega_mag,label,session_id
0,1761072586591984896,19.56098508834839,-0.1225669234991073,-0.1594867259263992,-0.0343906581401824,-0.2901943325996399,0.854978621006012,-0.4298823773860931,-0.0322849154472351,-0.0840283036231994,0.0355189442634582,0.3227194180470719,-0.3515775488395335,0.4018109578648853,-0.781532720300933,-1.025509628032574,-0.5937875796979424,-2.699509711759456,19220,0.20406220583457704,backhand,backhands_watch-right
10,1761072586602031104,19.571031093597412,-0.1078950315713882,-0.1859612017869949,-0.0600211843848228,-0.291425347328186,0.855319082736969,-0.4283698201179504,-0.0333427488803863,-0.0624724030494689,0.0491889119148254,0.3226522089006963,-0.3525669623613149,0.4018850899349563,-0.7810765548060434,-1.0261663545790596,-0.597390328601265,-2.7016582267089806,19230,0.2232161485708666,backhand,backhands_watch-right
20,1761072586612077056,19.581077098846436,-0.0978025496006012,-0.2028471380472183,-0.1003109067678451,-0.2930097281932831,0.8555083274841309,-0.4269083738327026,-0.028843879699707,-0.0531554818153381,0.0615672171115875,0.322538643071628,-0.3536836430490124,0.4018130033753882,-0.7806554927727117,-1.0265317977473856,-0.6015078523403502,-2.704137737096285,19240,0.24652500509869704,backhand,backhands_watch-right
30,1761072586622121984,19.591122150421143,-0.1111990511417388,-0.2229023426771164,-0.1443249732255935,-0.2950431704521179,0.8555624485015869,-0.4253969490528106,-0.0164650380611419,-0.0616323947906494,0.068829596042633,0.3222867828673779,-0.3549546803053203,0.4016325365114845,-0.7802755038468646,-1.026636333164949,-0.6063984280496312,-2.7073207923717098,19250,0.2878895295809452,backhand,backhands_watch-right
40,1761072586632167936,19.60116815567017,-0.130094975233078,-0.2500857710838318,-0.1692250818014145,-0.2975089251995086,0.8555658459663391,-0.4236690402030945,0.004936933517456,-0.0667322874069213,0.0697719752788543,0.3219046517199652,-0.3564253508411052,0.401405591822396,-0.7798794090874213,-1.026642910043368,-0.6122144325074301,-2.7112953570548615,19260,0.32879282806987337,backhand,backhands_watch-right
50,1761072586642214144,19.61121416091919,-0.1609857827425003,-0.2790401875972748,-0.1618582457304,-0.3001679182052612,0.8556320071220398,-0.4216552376747131,0.0256623029708862,-0.0640975832939148,0.0627227425575256,0.3214998601762691,-0.358059126514233,0.4012057273189068,-0.7794007359311231,-1.026770659457467,-0.618654671031672,-2.715674727896581,19270,0.3605245348800278,backhand,backhands_watch-right
60,1761072586652260096,19.621260166168213,-0.1765283942222595,-0.2927164435386657,-0.1488775610923767,-0.3027895092964172,0.8558498024940491,-0.4193325340747833,0.0346010029315948,-0.0506587624549865,0.0574398040771484,0.3211438262349116,-0.3597916242052603,0.4011031263154148,-0.7788023151668807,-1.027191622114442,-0.625388234610807,-2.7201434514449856,19280,0.3728400709170471,backhand,backhands_watch-right
70,1761072586662305024,19.63130521774292,-0.178491398692131,-0.3068653047084808,-0.128181591629982,-0.3053144514560699,0.8561506271362305,-0.4168803989887237,0.0341657400131225,-0.0323133468627929,0.0531260967254638,0.3208565157747581,-0.3615525826198705,0.4010480353887046,-0.7781332724190285,-1.027773544845647,-0.6321279329034354,-2.7244781483291067,19290,0.3774334578090521,backhand,backhands_watch-right
80,1761072586672351232,19.641351222991943,-0.2137247025966644,-0.3032543659210205,-0.1126280277967453,-0.307664692401886,0.856582760810852,-0.4142565727233886,0.0326860249042511,-0.0111390352249145,0.0474658012390136,0.3206337520033997,-0.3633161039885627,0.4010899162209517,-0.7773817530107515,-1.028610411838684,-0.6388070076875915,-2.7286780753440363,19300,0.38771965593141816,backhand,backhands_watch-right
90,1761072586682397184,19.651397228240967,-0.2187106758356094,-0.3101594150066376,-0.1298991590738296,-0.3100150823593139,0.8570922017097473,-0.4114411175251007,0.0365775227546691,0.0003603100776672,0.0635559558868408,0.3203736166895725,-0.3651176807763578,0.4012088249722598,-0.7765831994658967,-1.029598479401555,-0.645728337848747,-2.7331420969262097,19310,0.4011321652146793,backhand,backhands_watch-right
100,1761072586692443136,19.66144323348999,-0.2232434451580047,-0.3204450011253357,-0.1325848698616027,-0.3125027120113373,0.8575798869132996,-0.4085323512554168,0.041567713022232,0.0054419040679931,0.0738613307476043,0.3200685120987903,-0.3669885565644945,0.4013143768924782,-0.7757720277348324,-1.0305458947781738,-0.6529943341411977,-2.7379015362230428,19320,0.4124334882965368,backhand,backhands_watch-right
110,1761072586702488064,19.671488285064697,-0.227333515882492,-0.3322702348232269,-0.1068406179547309,-0.3148939311504364,0.8581123352050781,-0.4055673778057098,0.0404799282550811,0.0422629714012146,0.0558206737041473,0.3198392801636563,-0.3688708003433321,0.4014357266804457,-0.7749105781283127,-1.0315819320817148,-0.6602017152806564,-2.7424669214396364,19330,0.41653205643494756,backhand,backhands_watch-right
120,1761072586712534272,19.68153429031372,-0.2041251063346862,-0.3259199857711792,-0.0924667418003082,-0.3170962333679199,0.8586686849594116,-0.4026635289192199,0.0302920937538146,0.0807233452796936,0.0176233053207397,0.3197196941847827,-0.3707040394064282,0.4015554087131157,-0.7740225605693704,-1.032666405037589,-0.6670703860731376,-2.7465966722596855,19340,0.3955262247947631,backhand,backhands_watch-right
130,1761072586722580224,19.691580295562744,-0.1560510545969009,-0.3227516114711761,-0.0774057731032371,-0.31915482878685,0.8591005206108093,-0.4001083672046661,0.0243245065212249,0.0887601971626281,-0.0199203491210937,0.3197012299426059,-0.3724193065248473,0.4015590605242792,-0.7732046652477215,-1.0335095701808514,-0.6733192091936372,-2.7500943483565576,19350,0.36675903268734333,backhand,backhands_watch-right
140,1761072586732626176,19.701626300811768,-0.1587216407060623,-0.3416867256164551,-0.0421711690723896,-0.3210242390632629,0.8595110774040222,-0.3977236747741699,0.0356239080429077,0.0863659381866455,-0.0297207534313201,0.3198490877767884,-0.3740824955563079,0.4014977495477196,-0.7723719111510464,-1.0343122876877826,-0.6790879111428718,-2.752908967128146,19360,0.3791052428968123,backhand,backhands_watch-right
150,1761072586742672128,19.71167230606079,-0.1652477085590362,-0.3598353564739227,-0.0058555067516863,-0.3226687014102936,0.8600435256958008,-0.3952341973781585,0.0530764162540435,0.0790586471557617,-0.0400990843772888,0.3201459121663161,-0.3757503918055787,0.4014904009242672,-0.7714426008969187,-1.0353549277135834,-0.6846604854124392,-2.755302326159576,19370,0.39600830283220856,backhand,backhands_watch-right
160,1761072586752717056,19.72171711921692,-0.1607215404510498,-0.3705509901046753,0.0282957162708044,-0.3240590691566467,0.8606795072555542,-0.3927039802074432,0.0579153001308441,0.0639877915382385,-0.0564384162425994,0.3206133700105685,-0.377402180860551,0.4015166240689613,-0.7704278024427426,-1.0366027767317072,-0.6899186396085241,-2.7571486094398945,19380,0.4048951683976872,backhand,backhands_watch-right
170,1761072586762763008,19.731763124465942,-0.1561978906393051,-0.3741893768310547,0.0417028702795505,-0.3252680897712707,0.8613761067390442,-0.3901688754558563,0.0498775243759155,0.0687538385391235,-0.0528547465801239,0.3211912345337172,-0.3790302144542616,0.4015615210582885,-0.769363704364891,-1.0379724802095474,-0.6949308924078973,-2.7586181099799596,19390,0.40762065718377716,backhand,backhands_watch-right
180,1761072586772808960,19.74180912971497,-0.1215877085924148,-0.3598980605602264,0.0497209355235099,-0.3263898193836212,0.8620105981826782,-0.3878239691257477,0.0317578613758087,0.0820049047470092,-0.0548029541969299,0.321823548078508,-0.3805905056965195,0.4015456134263985,-0.7683369199653297,-1.0392229599398703,-0.6995928684132039,-2.7597375380485367,19400,0.38312185568706386,backhand,backhands_watch-right
190,1761072586782854912,19.75185513496399,-0.0569967329502105,-0.3157737553119659,0.0719119906425476,-0.3272285759449005,0.8625169396400452,-0.3859871029853821,0.0035133361816406,0.0896467566490173,-0.0760948061943054,0.3225597985144627,-0.3819215016044859,0.4014254864917758,-0.7674299653159966,-1.0402226969455273,-0.703198439046478,-2.759971005461458,19410,0.3288358656062212,backhand,backhands_watch-right
200,1761072586792900096,19.761900186538696,0.0420881062746048,-0.2724332809448242,0.0718928202986717,-0.3277884721755981,0.8627294898033142,-0.3850355744361877,-0.0238197743892669,0.1027703285217285,-0.0968522131443023,0.3234090488684765,-0.3829146531763716,0.4010717924478058,-0.7667621877066659,-1.040642899155384,-0.7052598599538193,-2.75894749279437,19420,0.2848857294892832,backhand,backhands_watch-right
210,1761072586802946048,19.77194619178772,0.0951286852359771,-0.2149886339902877,0.0825188308954238,-0.328096330165863,0.8626676797866821,-0.3849120140075683,-0.041059523820877,0.1102631688117981,-0.1073975265026092,0.324324831894447,-0.3835740375536294,0.4005183547834935,-0.7663350270962086,-1.0405206205573383,-0.7058817469593093,-2.756850530826607,19430,0.24915645075350357,backhand,backhands_watch-right
