t_rel_ms,time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw,timestamp,omega_mag,label,session_id
0,1761602745066448384,38.97844839096069,0.0048672715201973,-0.0029668817296624,-0.0700048431754112,0.0140905249863863,0.5354858636856079,-0.8444266319274902,-0.0194158554077148,0.006048560142517,0.0123953819274902,0.3439002986948353,-0.1066931691550009,-0.2576882715580917,0.8966303717703614,-0.5650829667483298,0.0166849509701888,2.4139502358709852,38140,0.07023653456188626,forehand,forehands_watch-right
10,1761602745076493312,38.98849320411682,-0.0181714687496423,0.0132935810834169,-0.0699361339211463,0.0137231945991516,0.5355955958366394,-0.8443630933761597,-0.0168664995580911,0.0016968846321105,0.0181149244308471,0.3442280729439398,-0.1066328606382107,-0.257774887771371,0.8964867824859138,-0.5652128892939503,0.0162512865811727,2.41308090130021,38150,0.07347097659877072,forehand,forehands_watch-right
20,1761602745086538240,38.99853825569153,-0.0188634246587753,0.0090791955590248,-0.0733799561858177,0.013384242542088,0.5358068943023682,-0.8442344665527344,-0.0196861214935779,-0.0019476413726806,0.0165367126464843,0.3445908741619997,-0.1066190951523939,-0.2579052850140077,0.8963115722299356,-0.5654631353311096,0.0158523748742801,2.412131066619315,38160,0.07630778827674692,forehand,forehands_watch-right
30,1761602745096582400,39.00858235359192,-0.02530188113451,0.0043899011798202,-0.062548354268074,0.0130231752991676,0.53603196144104,-0.8440972566604614,-0.0200880095362663,-0.0036375522613525,0.0107995271682739,0.3448773644414155,-0.1065758002000587,-0.2580561242514269,0.8961631406758003,-0.5657296597465316,0.0154273007219057,2.411341941758167,38170,0.06761473983502377,forehand,forehands_watch-right
40,1761602745106627328,39.01862716674805,-0.02071881480515,-0.003663265146315,-0.0627377033233642,0.0126434974372386,0.5362721085548401,-0.8439504504203796,-0.0162445828318595,0.0007304549217224,0.0174886584281921,0.3451093721676486,-0.1065112668486155,-0.2582249268759333,0.8960328213346941,-0.5660141646214096,0.0149802052385149,2.4106657355716097,38180,0.06617180832312786,forehand,forehands_watch-right
50,1761602745116672256,39.028672218322754,-0.0287916548550128,-0.0076670609414577,-0.0669438987970352,0.0122148217633366,0.5365362167358398,-0.8437889218330383,-0.0120317302644252,0.0015344619750976,0.0218132138252258,0.3453054684318954,-0.1064179696810066,-0.258419737724014,0.895912220398336,-0.566327121389958,0.0144751472364657,2.410049891252165,38190,0.07327502165757374,forehand,forehands_watch-right
60,1761602745126716416,39.038716316223145,-0.0357286892831325,-0.0138905681669712,-0.0641304403543472,0.0117284450680017,0.5368427634239197,-0.8436008095741272,-0.00831048656255,-0.0039905905723571,0.0218997597694396,0.3454977903200434,-0.1063050881468463,-0.2586480830007443,0.8957855651825417,-0.5666904493057356,0.0139019417015767,2.4094171123992285,38200,0.07471412518349113,forehand,forehands_watch-right
70,1761602745136761344,39.04876136779785,-0.0407934933900833,-0.0171087328344583,-0.0705143064260482,0.0112026631832122,0.5372244715690613,-0.8433648943901062,-0.0051296707242727,-0.0055014491081237,0.0203821659088134,0.3457746843195223,-0.1062143797458727,-0.2589132008700833,0.8956128366434919,-0.5671429066239319,0.0132825117532868,2.4085722557471296,38210,0.08324112717229544,forehand,forehands_watch-right
80,1761602745146806272,39.05880618095398,-0.0411662980914115,-0.022307788953185,-0.0791231542825698,0.010579215362668,0.5375978350639343,-0.8431349992752075,-0.0050860699266195,-0.0040437579154968,0.0203200578689575,0.3461130562110564,-0.1060922935510898,-0.2591850923189034,0.8954180278550226,-0.567585685627009,0.012546816581457,2.407557162502894,38220,0.09193897481565767,forehand,forehands_watch-right
90,1761602745156850432,39.06885027885437,-0.0282747354358434,-0.0300972685217857,-0.0762663781642913,0.0099202878773212,0.5379175543785095,-0.8429390788078308,-0.0058156782761216,-0.0021204352378845,0.0173928141593933,0.3464315556352699,-0.1059354839167351,-0.2594381015730225,0.8952400617291554,-0.567964868387753,0.0117681458284051,2.4065797188985005,38230,0.08672869579751617,forehand,forehands_watch-right
100,1761602745166895360,39.07889533042908,-0.009451612830162,-0.0412406325340271,-0.0791093036532402,0.0091405073180794,0.5381033420562744,-0.8428292870521545,-0.0061345277354121,0.0003029704093933,0.0109201669692993,0.3467290809578068,-0.1056840746244573,-0.2596463601910537,0.8950941554790282,-0.5681852997596556,0.0108446030099709,2.4056235422030037,38240,0.0897129014211362,forehand,forehands_watch-right
110,1761602745176940544,39.088940382003784,-0.0099885063245892,-0.040224902331829,-0.0806302353739738,0.0083094425499439,0.5381942391395569,-0.8427799344062805,-0.0105982711538672,0.0011886954307556,0.0091464519500732,0.347106502938592,-0.1054098185684058,-0.2598053450628372,0.8949341484885709,-0.568293094024947,0.0098592451127404,2.404482794949444,38250,0.09065896471206782,forehand,forehands_watch-right
120,1761602745186984192,39.0989842414856,-0.011567261070013,-0.0297597162425518,-0.0833503901958465,0.0075366175733506,0.5383070707321167,-0.8427150845527649,-0.0140368668362498,0.0007096529006958,0.0103939175605773,0.3475052383579201,-0.1051752376928515,-0.2599627509140821,0.8947612441327445,-0.5684270113047066,0.0089430187271787,2.4033109431486848,38260,0.08925653917388296,forehand,forehands_watch-right
130,1761602745197029376,39.1090292930603,-0.0165713410824537,-0.0216826125979423,-0.0847855657339096,0.0068347817286849,0.5384437441825867,-0.8426337242126465,-0.0169818848371505,-0.0021278858184814,0.0064216256141662,0.3479581386875166,-0.1049964580769143,-0.2601131905499355,0.8945624858544561,-0.5685891889920509,0.0081110351777888,2.402039005048876,38270,0.08906928309559121,forehand,forehands_watch-right
140,1761602745207074304,39.11907434463501,-0.0257577486336231,-0.0128354914486408,-0.0918029099702835,0.0062045333907008,0.5386456251144409,-0.8425095677375793,-0.0221652351319789,-0.0029095411300659,0.0045731663703918,0.3484475498894172,-0.1048779834440023,-0.2602802665684651,0.8943372558487178,-0.5688287845910968,0.0073642145430997,2.400701164411804,38280,0.096208033627203,forehand,forehands_watch-right
150,1761602745217118208,39.12911820411682,-0.0389862023293972,-0.0102341156452894,-0.0957939252257347,0.0056072925217449,0.5389363169670105,-0.842327892780304,-0.0227276645600795,-0.0009571909904479,0.0080840587615966,0.3488303636624064,-0.1047647496637011,-0.2605003173589147,0.8941372639946743,-0.5691738563487689,0.0066568016961415,2.3996011014503127,38290,0.10392851969148556,forehand,forehands_watch-right
160,1761602745227163392,39.13916325569153,-0.0528837442398071,-0.0088813956826925,-0.100162923336029,0.0049926498904824,0.5393496155738831,-0.8420671224594116,-0.0197479054331779,-0.0023470520973205,0.0078538656234741,0.3492374057723044,-0.104678064488696,-0.260785231607952,0.8939053571161114,-0.5696645735763093,0.0059289705629553,2.3984237420087227,38300,0.11361417519532103,forehand,forehands_watch-right
170,1761602745237208320,39.149208307266235,-0.0586673319339752,-0.0026730350218713,-0.1110419332981109,0.0043759406544268,0.5398498773574829,-0.841749906539917,-0.0157895050942897,-0.0005738139152526,0.0078876614570617,0.3496509390225267,-0.1046122602443723,-0.2611155281600562,0.89365490867329,-0.5702587790501306,0.0051985762496349,2.3972187865085193,38310,0.12561573111303173,forehand,forehands_watch-right
180,1761602745247252224,39.15925216674805,-0.0448140315711498,-0.0038917642086744,-0.111270435154438,0.0037536716554313,0.540276288986206,-0.8414793610572815,-0.0161743257194757,0.0012428760528564,0.0093107819557189,0.3501111769299564,-0.1045411034181078,-0.2614029261994777,0.8933990446879116,-0.5707653821647084,0.004460771052279,2.3959161842187293,38320,0.1200189693080803,forehand,forehands_watch-right
190,1761602745257297152,39.169297218322754,-0.0401910506188869,-0.0075626652687788,-0.1086576133966445,0.0030949211213737,0.5406224727630615,-0.8412596583366394,-0.0178349036723375,0.0039942264556884,0.0060393214225769,0.3505485738586799,-0.1044278090967766,-0.2616581959549898,0.8931659947560444,-0.5711768248870108,0.0036788965082642,2.394661460238018,38330,0.11609905858736401,forehand,forehands_watch-right
200,1761602745267342336,39.17934226989746,-0.034890092909336,-0.0132282078266143,-0.1001257300376892,0.0023922894615679,0.5409524440765381,-0.8410497903823853,-0.0154080335050821,0.0030844211578369,0.0032964944839477,0.350954358572544,-0.1042806184598239,-0.2619172782402056,0.892947860368864,-0.5715691128621704,0.0028444012346571,2.393463494176275,38340,0.10685254269836733,forehand,forehands_watch-right
210,1761602745277387264,39.18938732147217,-0.038883239030838,-0.0097109712660312,-0.1002000346779823,0.0017066336004063,0.5412633419036865,-0.840851366519928,-0.0111823296174407,-0.0044744610786437,0.0018926858901977,0.3513974761656415,-0.1041486289650256,-0.2621590717178225,0.8927179731552112,-0.5719388593761305,0.0020296467635342,2.392189415313354,38350,0.10791782146581641,forehand,forehands_watch-right
220,1761602745287431168,39.19943118095398,-0.0393932685256004,-0.0061100772581994,-0.1033517941832542,0.0010180310346186,0.541590690612793,-0.8406417369842529,-0.0135149881243705,-0.0050153732299804,0.0041396617889404,0.3518763539509579,-0.1040297575114577,-0.2624060817836048,0.8924707033340903,-0.5723282071562595,0.0012110160204516,2.390831328743837,38360,0.11077344451685593,forehand,forehands_watch-right
230,1761602745297476352,39.20947623252869,-0.0401501357555389,-0.0001592440530657,-0.1102118268609047,0.0003254629846196,0.5419306755065918,-0.8404231667518616,-0.0147450231015682,-0.0049891471862792,0.002700388431549,0.3523827142125744,-0.1039203153812679,-0.262657545828873,0.8922096710532463,-0.5727326487684723,0.0003872608310721,2.389407302064498,38370,0.1172975086686613,forehand,forehands_watch-right
240,1761602745307521280,39.219521284103394,-0.0394436344504356,0.0015598596073687,-0.1153887510299682,-0.000343722931575,0.5422514081001282,-0.8402162194252014,-0.0138164293020963,-0.0074918866157531,-0.0007261633872985,0.3529050302127359,-0.1038229448456806,-0.2628929251622029,0.8919451703533562,-0.5731143821412111,-0.0004090886561406,2.3879571962069175,38380,0.1219540787547111,forehand,forehands_watch-right
250,1761602745317565440,39.229565382003784,-0.0441955141723156,0.0122796148061752,-0.1215425133705139,-0.0009643736993893,0.5425918102264404,-0.8399959206581116,-0.0129363732412457,-0.0080001354217529,0.0033260583877563,0.3536115821504688,-0.1038083386520212,-0.2631080712308783,0.8916034654687467,-0.5735195321707052,-0.0011480689871782,2.386107021229241,38390,0.1299100264381658,forehand,forehands_watch-right
