t_rel_ms,time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw,timestamp,omega_mag,label,session_id
0,1761597267796707072,11.02770709991455,0.005145221017301,-0.0200173091143369,0.1239849403500557,-0.1533215194940567,0.7577100992202759,-0.6343247890472412,0.0227978229522705,-0.0016371011734008,0.0111253261566162,-0.0571081061996934,0.1111117164925957,-0.4129065141205712,0.9021646900647842,-0.8597970177912697,-0.237159538083277,-3.124300221764375,4270,0.1256957890985321,serve,serves_watch-right
10,1761597267806753280,11.037753105163574,0.0059605468995869,-0.0160493310540914,0.099089078605175,-0.1507040560245514,0.7590889930725098,-0.6333025693893433,0.022606536746025,-0.0017343163490295,0.0034655928611755,-0.0573203296986009,0.1098549583134068,-0.413860617109389,0.901867823996638,-0.8619125467147577,-0.2336202366562353,-3.1224490943002245,4280,0.10055722075240817,serve,serves_watch-right
20,1761597267816799232,11.047799110412598,0.0171969551593065,-0.0173513498157262,0.0788732916116714,-0.148232027888298,0.7603439092636108,-0.6323800086975098,0.0231252014636993,0.0068832635879516,0.0042519569396972,-0.0575019664712142,0.1086556646414318,-0.4147335734574373,0.901600573634888,-0.8638423941294818,-0.2302465090032393,-3.120712196024853,4290,0.08256997479010549,serve,serves_watch-right
30,1761597267826845184,11.05784511566162,0.0131693594157695,-0.0124763362109661,0.0772252455353736,-0.1461691856384277,0.7617793083190918,-0.6311315298080444,0.0258993804454803,0.0073857307434082,0.0029271841049194,-0.0575835486724335,0.1076558023304633,-0.4157456667926948,0.901249175242502,-0.866055200072587,-0.2275861455746269,-3.119549239174043,4300,0.07932735682391996,serve,serves_watch-right
40,1761597267836891136,11.067891120910645,-0.0044320058077573,-0.008893584832549,0.0780857130885124,-0.144469067454338,0.7632749080657959,-0.6297141909599304,0.0252521634101867,0.0063478946685791,0.0047295093536376,-0.0575692910331964,0.1068206605696544,-0.4168119947856856,0.9008567010935702,-0.8683670308986404,-0.2255175168226965,-3.1188764174504127,4310,0.07871541853534934,serve,serves_watch-right
50,1761597267846937088,11.077937126159668,-0.0221164282411336,0.002254107967019,0.0856755375862121,-0.1428431719541549,0.7645387649536133,-0.6285509467124939,0.0171565413475036,0.0035428404808044,0.0088610053062438,-0.057488468698451,0.1059764336731976,-0.4177242312414121,0.9005389747172361,-0.87032543800726,-0.2234625050566879,-3.1183142750289643,4320,0.0885127964847944,serve,serves_watch-right
60,1761597267856983296,11.087983131408691,-0.0289271958172321,-0.0035348054952919,0.086685411632061,-0.1414684504270553,0.7656124830245972,-0.627554178237915,0.0127147734165191,-0.0005520582199096,0.0139524936676025,-0.0575036265035668,0.1053015963555623,-0.4184907068089016,0.9002613555069451,-0.8719928628698718,-0.2217220241661424,-3.11764966558568,4330,0.09145292831592597,serve,serves_watch-right
70,1761597267867028224,11.098028182983398,-0.031456634402275,-0.0080121448263525,0.092534951865673,-0.1403210312128067,0.7664518356323242,-0.6267868280410767,0.010300874710083,0.0008668899536132,0.0129257440567016,-0.0575190340745993,0.1047347441836925,-0.4190909526981133,0.9000472912071054,-0.8732986565926474,-0.2202420780460646,-3.1170644578502076,4340,0.09806340616876032,serve,serves_watch-right
80,1761597267877074176,11.108074188232422,-0.0392311997711658,-0.0155403679236769,0.0928547978401184,-0.1393341422080993,0.7667495012283325,-0.6266428232192993,0.0106567740440368,-0.008219838142395,0.0092111825942993,-0.0575375655856574,0.1042137004605987,-0.4193066891777492,0.9000060503736319,-0.873762248543522,-0.2187908909915851,-3.1163958165743817,4350,0.10199315443998004,serve,serves_watch-right
90,1761597267887120128,11.118120193481444,-0.036614641547203,-0.0170578360557556,0.0901586189866066,-0.1383190900087356,0.7669265270233154,-0.6266509890556335,0.0097638368606567,-0.0215194821357727,0.004809558391571,-0.0575791890019481,0.1036774283346793,-0.4194347484935765,0.9000055475691816,-0.8740380269009759,-0.2172441059928145,-3.1156111601108756,4360,0.09879361479421278,serve,serves_watch-right
100,1761597267897166336,11.128166198730469,-0.0489996708929538,-0.0290236882865428,0.0817875042557716,-0.1372978836297989,0.7673516869544983,-0.6263550519943237,0.0046379715204238,-0.0267358422279357,0.0087555646896362,-0.0576564733615777,0.1031753183840262,-0.4197348354186852,0.8999184320124365,-0.8747007973028108,-0.2157884123806331,-3.114828710384751,4370,0.09966211959295287,serve,serves_watch-right
110,1761597267907212288,11.138212203979492,-0.0545331872999668,-0.0376813560724258,0.0754617899656295,-0.1362777352333068,0.7678472995758057,-0.6259704232215881,0.0034346878528594,-0.0279943943023681,0.0056549310684204,-0.0577543227295902,0.1026893916923687,-0.4200829269169476,0.8998053983236737,-0.8754740543107429,-0.2143614727910825,-3.114023960146611,4380,0.10044020538293906,serve,serves_watch-right
120,1761597267917258240,11.148258209228516,-0.0504614822566509,-0.0429722592234611,0.0591118372976779,-0.1353989094495773,0.7683860659599304,-0.6254998445510864,0.0108108967542648,-0.0253898501396179,2.682209014892578e-05,-0.0576463921173725,0.1021904599457532,-0.4204844829031167,0.8996815307810268,-0.8763154998717116,-0.213176153285485,-3.1137950866755375,4390,0.0888098280767043,serve,serves_watch-right
