time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
24188,0.01366000,0.00000000,0.00000000,0.00000000,-0.00176071,-0.00094860,0.99999780,-0.06122757,-0.03298695,0.00512916,0.00000002,-0.00088035,-0.00047430,0.99999942,0.00176071,-0.00094860,3.14159178
57052,0.04652400,0.03370750,-0.00572894,0.00319755,-0.00364293,-0.00161603,0.99999179,-0.08424770,-0.03012225,-0.01512855,-0.00000044,-0.00182147,-0.00080802,0.99999790,0.00364294,-0.00161604,3.14159059
89740,0.07921200,0.03370750,-0.00639510,0.02171669,-0.00537921,-0.00260070,0.99998226,-0.06566572,-0.03743836,0.01271307,-0.00000211,-0.00268961,-0.00130036,0.99999561,0.00537924,-0.00260074,3.14158987
122424,0.11189601,0.04276723,0.00945942,0.01998469,-0.00713502,-0.00355370,0.99996814,-0.05414428,-0.02964943,0.01638925,-0.00000364,-0.00356753,-0.00177688,0.99999198,0.00713508,-0.00355380,3.14158725
155184,0.14465600,0.05395865,-0.00572894,0.01252374,-0.00898306,-0.00430608,0.99995031,-0.05766734,-0.02377009,0.00200284,-0.00000495,-0.00449157,-0.00215309,0.99998750,0.00898318,-0.00430627,3.14158320
187972,0.17744399,0.05808882,-0.02065084,0.01572129,-0.01086897,-0.00495072,0.99992847,-0.05407243,-0.01873092,-0.01457691,-0.00000694,-0.00543457,-0.00247544,0.99998207,0.01086919,-0.00495103,3.14157962
220728,0.21019999,0.02531394,0.01638744,0.03064318,-0.01274222,-0.00565362,0.99990262,-0.06318552,-0.02388739,-0.01918978,-0.00001007,-0.00637124,-0.00282694,0.99997558,0.01274256,-0.00565411,3.14157676
253524,0.24299600,0.01065850,-0.02358193,0.02291577,-0.01462253,-0.00632047,0.99987316,-0.06130521,-0.02175570,-0.00231457,-0.00001254,-0.00731146,-0.00316043,0.99996833,0.01462305,-0.00632119,3.14157152
286340,0.27581200,0.01998469,-0.05182695,0.03623890,-0.01646974,-0.00705989,0.99983901,-0.05555174,-0.02223699,0.00064927,-0.00001589,-0.00823515,-0.00353022,0.99995965,0.01647049,-0.00706091,3.14156627
319176,0.30864799,0.01718683,0.01851914,0.02238285,-0.01816675,-0.00811909,0.99980182,-0.04311255,-0.02703716,0.00117475,-0.00001654,-0.00908376,-0.00405990,0.99995040,0.01816775,-0.00812052,3.14155197
352056,0.34152798,0.01505513,-0.06754824,0.01625421,-0.01989330,-0.00910371,0.99976072,-0.04504810,-0.02556426,0.00683105,-0.00001696,-0.00994717,-0.00455229,0.99994020,0.01989462,-0.00910563,3.14153599
384848,0.37432000,0.01318989,-0.02278254,0.01798622,-0.02137414,-0.01043982,0.99971685,-0.02574500,-0.02325159,-0.00582039,-0.00001520,-0.01068775,-0.00522044,0.99992923,0.02137577,-0.01044239,3.14151144
417656,0.40712800,0.00919296,0.00199847,0.01612098,-0.02289050,-0.01174088,0.99966859,-0.03497083,-0.03000717,0.00472593,-0.00001362,-0.01144612,-0.00587108,0.99991703,0.02289251,-0.01174423,3.14148545
