time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
24184,0.01365600,0.00000000,0.00000000,0.00000000,0.00185404,0.00074995,0.99999790,0.01987447,0.00803911,-0.03051549,0.00000009,0.00092702,0.00037497,0.99999942,-0.00185404,0.00074995,3.14159178
56976,0.04644800,-0.08140429,0.10818377,0.13616232,0.00375313,0.00130258,0.99999217,0.05752617,0.01700797,-0.02147651,-0.00001199,0.00187656,0.00065131,0.99999799,-0.00375313,0.00130259,3.14161419
89676,0.07914800,-0.08353599,0.21037213,0.03464012,0.00192157,0.00217028,0.99999561,-0.02291766,0.01125745,-0.01293510,-0.00001360,0.00096077,0.00108515,0.99999885,-0.00192157,0.00217029,3.14161777
122392,0.11186400,-0.10951609,0.27312402,0.12656967,0.00004545,0.00296139,0.99999551,-0.02226225,0.00997807,0.02417439,-0.00002320,0.00002269,0.00148070,0.99999885,-0.00004545,0.00296139,3.14163899
155152,0.14462399,-0.14428943,0.21130475,0.11231393,-0.00198588,0.00308411,0.99999322,-0.03170552,0.00228698,-0.03099906,-0.00003165,-0.00099299,0.00154203,0.99999828,0.00198589,0.00308412,3.14165902
187984,0.17745600,-0.19851453,0.26872742,0.07620828,-0.00398906,0.00263386,0.99998836,-0.04483907,-0.00946980,0.00904489,-0.00003664,-0.00199458,0.00131686,0.99999704,0.00398907,0.00263389,3.14167118
220808,0.21027998,-0.06848086,0.23262174,0.04489892,-0.00598340,0.00219459,0.99997978,-0.04284472,-0.00927467,0.02663159,-0.00003884,-0.00299176,0.00109719,0.99999494,0.00598343,0.00219463,3.14167690
253632,0.24310400,-0.01985145,0.17186830,0.04116845,-0.00797466,0.00180002,0.99996652,-0.08211324,-0.01644846,-0.02096260,-0.00004068,-0.00398740,0.00089985,0.99999160,0.00797474,0.00180008,3.14168119
286432,0.27590398,0.02384839,0.10791730,0.09712558,-0.00991136,0.00123766,0.99995002,-0.11020584,-0.03248766,0.01933706,-0.00004728,-0.00495577,0.00061860,0.99998750,0.00991152,0.00123772,3.14169335
319232,0.30870399,0.02717917,0.13935987,0.17533230,-0.01145387,-0.00005900,0.99993438,-0.02663206,-0.02362264,-0.07854772,-0.00005886,-0.00572703,-0.00002984,0.99998359,0.01145412,-0.00005901,3.14171004
352016,0.34148800,-0.09632619,0.14775345,0.03690505,-0.01033656,-0.00171679,0.99994487,0.00935999,-0.01415235,0.04668593,-0.00005741,-0.00516830,-0.00085870,0.99998617,0.01033674,-0.00171688,3.14169859
384808,0.37427999,0.01985145,0.07301073,-0.01598775,-0.01224397,-0.00235299,0.99992198,-0.07369353,-0.02474662,0.07795882,-0.00005517,-0.00612204,-0.00117685,0.99998044,0.01224428,-0.00235317,3.14168858
417672,0.40714402,0.14735375,0.14535528,0.04689740,-0.01420820,-0.00281646,0.99989500,-0.05268633,-0.01329682,0.04209721,-0.00005880,-0.00710420,-0.00140868,0.99997367,0.01420868,-0.00281675,3.14169025
450448,0.43991999,0.18066156,0.19025421,-0.01132465,-0.01622329,-0.00251982,0.99986515,-0.02161851,0.00276396,0.02113098,-0.00005997,-0.00811184,-0.00126044,0.99996623,0.01622400,-0.00252015,3.14169216
483280,0.47275199,0.21103830,0.19345174,-0.01252374,-0.01821138,-0.00206070,0.99983177,-0.05527495,0.01207046,-0.02668721,-0.00006176,-0.00910601,-0.00103096,0.99995784,0.01821239,-0.00206104,3.14169740
